origin,destination,pickup_datetime,delivery_datetime,equipment_type,loadboard_rate,notes,weight,commodity_type,num_of_pieces,miles,dimensions
"Minneapolis, MN","Chicago, IL","2026-02-20 09:00","2026-02-20 20:00","Reefer","1450.00","Mantener a -20°C",36000,"Ice Cream",20,410,"Standard Pallets"
"Newark, NJ","Richmond, VA","2026-02-21 06:00","2026-02-21 14:00","Dry Van 53'","1200.00","Solo citas AM",22000,"Apparel",22,330,"Standard Pallets"
"Phoenix, AZ","Los Angeles, CA","2026-02-21 21:00","2026-02-22 06:00","Reefer","1100.00","Pre-enfriar unidad",42000,"Vegetables",20,370,"Standard Pallets"
"Oklahoma City, OK","Tulsa, OK","2026-02-22 08:00","2026-02-22 11:00","Flatbed","650.00","Carga local",45000,"Concrete Blocks",14,105,"Standard Pallets"
"Cincinnati, OH","Louisville, KY","2026-02-22 13:00","2026-02-22 16:00","Dry Van 53'","700.00","Carga rápida",15000,"Beverages",10,100,"Standard Pallets"
"Salt Lake City, UT","Denver, CO","2026-02-23 05:00","2026-02-23 18:00","Reefer","1950.00","Cruce de montaña",39000,"Meat",22,520,"Standard Pallets"
"Baltimore, MD","Pittsburgh, PA","2026-02-23 10:00","2026-02-23 19:00","Dry Van 53'","1300.00","Sello de seguridad",30000,"General Cargo",24,250,"Standard Pallets"
"Seattle, WA","San Francisco, CA","2026-02-24 07:00","2026-02-25 15:00","Reefer","2900.00","Alta prioridad",34000,"Seafood",18,800,"40x48x50"
"Jacksonville, FL","New Orleans, LA","2026-02-24 09:00","2026-02-25 08:00","Flatbed","1850.00","Requiere cadenas",43000,"Lumber",16,550,"Bundle"
"Buffalo, NY","Toronto, ON","2026-02-25 08:00","2026-02-25 14:00","Dry Van 53'","1100.00","Cruce fronterizo",20000,"Plastic Resin",20,100,"Gaylords"
"Birmingham, AL","Mobile, AL","2026-02-25 11:30","2026-02-25 17:00","Flatbed","900.00","Carga pesada",46000,"Steel Rebar",8,260,"40ft bundles"
"Milwaukee, WI","Des Moines, IA","2026-02-26 06:00","2026-02-26 15:00","Dry Van 53'","1350.00","No doble estiba",12000,"Cleaning Supplies",24,375,"Standard Pallets"
"Orlando, FL","Tampa, FL","2026-02-26 13:00","2026-02-26 16:00","Reefer","750.00","Mantener a 4°C",28000,"Juice",18,85,"Standard Pallets"
"Las Vegas, NV","Reno, NV","2026-02-27 07:00","2026-02-27 18:00","Dry Van 53'","1600.00","Carga de valor",15000,"Slot Machines",10,450,"Crated"
"Albuquerque, NM","Amarillo, TX","2026-02-27 09:00","2026-02-27 15:00","Flatbed","1100.00","Carga lateral",35000,"Irrigation Pipes",12,290,"Bundles"
"Portland, ME","New York, NY","2026-02-28 05:00","2026-02-28 17:00","Reefer","1800.00","Mariscos frescos",30000,"Lobsters",15,315,"Standard Pallets"
"Sacramento, CA","Fresno, CA","2026-02-28 10:00","2026-02-28 15:00","Dry Van 53'","850.00","Solo locales",40000,"Bottled Water",22,170,"Standard Pallets"
"Laredo, TX","Houston, TX","2026-03-01 08:00","2026-03-01 16:00","Dry Van 53'","1050.00","Importación",42000,"Toys",26,310,"Standard Pallets"
"Greenville, SC","Savannah, GA","2026-03-01 11:00","2026-03-01 18:00","Flatbed","1150.00","Puerto de salida",40000,"Industrial Parts",6,250,"Crates"
"Omaha, NE","Wichita, KS","2026-03-02 07:00","2026-03-02 14:00","Dry Van 53'","1200.00","Carga seca",38000,"Animal Feed",22,310,"Bags"
"Little Rock, AR","Jackson, MS","2026-03-02 09:30","2026-03-02 16:00","Dry Van 53'","1000.00","Ruta directa",25000,"Hardware",18,265,"Standard Pallets"
"Albany, NY","Syracuse, NY","2026-03-03 08:00","2026-03-03 13:00","Reefer","900.00","Control de clima",20000,"Pharmaceuticals",10,145,"Insulated Boxes"
"Boise, ID","Spokane, WA","2026-03-03 10:00","2026-03-03 18:00","Dry Van 53'","1400.00","Carga frágil",18000,"Windows",12,385,"Custom Crates"
"Charleston, SC","Raleigh, NC","2026-03-04 06:00","2026-03-04 12:00","Flatbed","1250.00","Puerto de entrada",44000,"Granite Slabs",8,230,"A-Frame"
"Austin, TX","Lubbock, TX","2026-03-04 07:30","2026-03-04 17:00","Dry Van 53'","1300.00","Entrega retail",32000,"Cosmetics",20,375,"Standard Pallets"
"Madison, WI","Fargo, ND","2026-03-05 06:00","2026-03-05 18:00","Reefer","2100.00","Mantener a 10°C",38000,"Chocolate",22,480,"Standard Pallets"
"Tacoma, WA","Vancouver, BC","2026-03-05 09:00","2026-03-05 15:00","Dry Van 53'","1250.00","Documentos aduanales",25000,"Paper Rolls",10,145,"Large Rolls"
"El Paso, TX","Tucson, AZ","2026-03-06 08:00","2026-03-06 14:00","Flatbed","1100.00","Carga de acero",40000,"Wire Mesh",14,315,"Standard Pallets"
"Hartford, CT","Providence, RI","2026-03-06 13:00","2026-03-06 16:00","Dry Van 53'","750.00","Ruta corta",15000,"Office Supplies",12,75,"Standard Pallets"
"San Antonio, TX","Dallas, TX","2026-03-07 07:00","2026-03-07 14:00","Dry Van 53'","1150.00","No transbordo",41000,"Auto Glass",20,275,"Crates"
"Louisville, KY","Columbus, OH","2026-03-07 10:00","2026-03-07 16:00","Reefer","1050.00","Mantener fresco",35000,"Beverage Syrup",22,205,"Totes"
